LAnkle;LBigToe;LEar;LElbow;LEye;LHeel;LHip;LKnee;LShoulder;LSmallToe;LWrist;MidHip;Neck;Nose;RAnkle;RBigToe;REar;RElbow;REye;RHeel;RHip;RKnee;RShoulder;RSmallToe;RWrist;time
(0.0, 0);(0.0, 0);(307.51, 167.51600000000002);(322.504, 86.5);(298.513, 167.497);(0.0, 0);(308.495, 62.51400000000001);(265.511, 19.52000000000001);(322.516, 132.521);(0.0, 0);(299.459, 59.5);(291.518, 66.481);(297.495, 137.454);(291.537, 161.449);(0.0, 0);(0.0, 0);(278.525, 164.48399999999998);(262.507, 102.495);(284.537, 166.49599999999998);(0.0, 0);(275.511, 69.493);(238.508, 33.516999999999996);(270.505, 138.514);(0.0, 0);(252.542, 73.512);0.4
(0.0, 0);(0.0, 0);(307.508, 168.45999999999998);(322.498, 86.507);(298.508, 167.497);(0.0, 0);(308.498, 62.51400000000001);(266.468, 20.49199999999999);(323.449, 132.521);(0.0, 0);(299.479, 59.52799999999999);(291.517, 66.477);(297.497, 137.453);(291.535, 161.45);(0.0, 0);(0.0, 0);(278.526, 164.487);(262.516, 102.5);(284.536, 166.497);(0.0, 0);(275.51, 69.487);(238.499, 33.516999999999996);(270.508, 138.507);(0.0, 0);(252.544, 73.51400000000001);0.44
(0.0, 0);(0.0, 0);(307.505, 167.512);(322.514, 86.511);(298.507, 167.501);(0.0, 0);(308.484, 62.513000000000005);(266.471, 21.512);(323.453, 132.507);(0.0, 0);(299.472, 59.507000000000005);(291.506, 66.469);(297.503, 137.45);(291.532, 161.454);(0.0, 0);(0.0, 0);(279.486, 164.49599999999998);(262.522, 102.494);(284.536, 166.50799999999998);(0.0, 0);(275.5, 68.50899999999999);(237.535, 33.52600000000001);(270.51, 138.507);(0.0, 0);(252.548, 73.525);0.48
(0.0, 0);(0.0, 0);(307.508, 168.465);(322.512, 86.505);(298.508, 167.502);(0.0, 0);(308.499, 62.508999999999986);(265.512, 21.491000000000014);(323.451, 132.511);(0.0, 0);(299.454, 59.50800000000001);(291.517, 66.469);(297.502, 137.453);(291.53, 161.45499999999998);(0.0, 0);(0.0, 0);(279.487, 164.525);(262.521, 102.50999999999999);(284.537, 166.517);(0.0, 0);(275.507, 68.50899999999999);(237.529, 33.53200000000001);(270.513, 138.51);(0.0, 0);(252.551, 73.531);0.52
(0.0, 0);(0.0, 0);(307.506, 167.51600000000002);(322.5, 86.494);(298.507, 167.493);(0.0, 0);(308.5, 62.498999999999995);(266.464, 21.492999999999995);(323.45, 132.513);(0.0, 0);(298.515, 59.492999999999995);(291.521, 66.465);(297.496, 137.45);(291.529, 161.45);(0.0, 0);(0.0, 0);(279.481, 164.513);(262.508, 102.49799999999999);(284.536, 166.51);(0.0, 0);(275.513, 68.506);(237.522, 33.52699999999999);(270.493, 138.503);(0.0, 0);(252.548, 73.51599999999999);0.56
(0.0, 0);(0.0, 0);(307.504, 167.50799999999998);(322.5, 86.49600000000001);(298.505, 167.487);(0.0, 0);(308.484, 62.50200000000001);(265.513, 21.49199999999999);(322.516, 132.511);(0.0, 0);(299.46, 59.52000000000001);(291.516, 66.46799999999999);(297.496, 137.449);(291.529, 161.447);(0.0, 0);(0.0, 0);(279.482, 164.505);(262.512, 102.501);(284.536, 166.503);(0.0, 0);(275.516, 68.50999999999999);(237.518, 33.53399999999999);(270.497, 138.503);(0.0, 0);(252.547, 73.523);0.6
(0.0, 0);(0.0, 0);(307.505, 167.498);(322.494, 86.50200000000001);(298.506, 167.483);(0.0, 0);(308.484, 62.501000000000005);(265.514, 21.488);(322.517, 132.513);(0.0, 0);(299.46, 59.519000000000005);(291.516, 66.469);(297.498, 137.451);(291.53, 161.445);(0.0, 0);(0.0, 0);(279.482, 164.494);(262.515, 102.499);(284.537, 166.497);(0.0, 0);(275.517, 68.50999999999999);(237.513, 33.535);(270.501, 138.504);(0.0, 0);(252.544, 73.51599999999999);0.64
(0.0, 0);(0.0, 0);(307.506, 167.494);(322.5, 86.50999999999999);(298.505, 167.477);(0.0, 0);(308.493, 62.50399999999999);(266.491, 21.508999999999986);(323.448, 132.513);(0.0, 0);(299.471, 59.528999999999996);(291.522, 66.47);(297.503, 137.451);(291.53, 161.442);(0.0, 0);(0.0, 0);(279.484, 164.486);(262.524, 102.50299999999999);(284.535, 166.49);(0.0, 0);(275.52, 68.50999999999999);(237.52, 33.535);(270.507, 138.505);(0.0, 0);(252.547, 73.52799999999999);0.68
(0.0, 0);(0.0, 0);(307.506, 167.49);(322.512, 87.49700000000001);(298.502, 166.519);(0.0, 0);(308.483, 62.492999999999995);(266.482, 21.5);(323.45, 132.516);(0.0, 0);(299.464, 59.51400000000001);(291.512, 65.531);(297.498, 137.45);(291.526, 160.518);(0.0, 0);(0.0, 0);(278.521, 164.49599999999998);(262.509, 101.51599999999999);(284.533, 166.488);(0.0, 0);(275.506, 68.511);(237.508, 34.46100000000001);(270.497, 138.501);(0.0, 0);(252.538, 73.511);0.72
(0.0, 0);(0.0, 0);(307.501, 167.48399999999998);(323.446, 88.46600000000001);(298.497, 166.513);(0.0, 0);(308.483, 62.502999999999986);(266.487, 21.494);(323.449, 132.52);(0.0, 0);(299.472, 59.501000000000005);(291.514, 66.464);(297.497, 137.449);(291.524, 160.515);(0.0, 0);(0.0, 0);(278.516, 164.495);(262.499, 101.50899999999999);(284.532, 166.485);(0.0, 0);(275.508, 68.50899999999999);(237.512, 33.535);(270.492, 138.496);(0.0, 0);(252.534, 73.50299999999999);0.76
(0.0, 0);(0.0, 0);(307.501, 167.477);(323.444, 87.501);(298.496, 166.512);(0.0, 0);(308.479, 62.498999999999995);(266.496, 21.488);(323.452, 132.514);(0.0, 0);(299.468, 59.50800000000001);(291.508, 65.531);(297.499, 137.446);(291.522, 160.514);(0.0, 0);(0.0, 0);(278.514, 164.502);(262.494, 101.50800000000001);(284.531, 166.488);(0.0, 0);(275.502, 68.505);(237.503, 34.46000000000001);(270.494, 138.494);(0.0, 0);(252.532, 73.506);0.8
(0.0, 0);(0.0, 0);(307.497, 166.511);(322.504, 86.50999999999999);(298.494, 166.50900000000001);(0.0, 0);(308.49, 62.506);(266.506, 21.504999999999995);(323.454, 132.511);(0.0, 0);(298.509, 58.547);(291.516, 66.47399999999999);(297.5, 137.443);(291.521, 160.512);(0.0, 0);(0.0, 0);(278.51, 164.5);(262.497, 101.51499999999999);(284.529, 166.487);(0.0, 0);(275.509, 68.52099999999999);(237.508, 33.53899999999999);(270.492, 138.492);(0.0, 0);(252.543, 73.519);0.84
(0.0, 0);(0.0, 0);(307.498, 166.51);(322.506, 87.476);(298.493, 166.51);(0.0, 0);(308.492, 63.47900000000001);(266.497, 21.494);(323.453, 132.511);(0.0, 0);(299.473, 59.502999999999986);(291.518, 66.47999999999999);(297.5, 137.446);(291.521, 160.511);(0.0, 0);(0.0, 0);(278.502, 164.487);(262.497, 101.50800000000001);(284.529, 165.52100000000002);(0.0, 0);(275.512, 69.483);(237.497, 34.498999999999995);(270.497, 138.496);(0.0, 0);(252.538, 73.50800000000001);0.88
(0.0, 0);(0.0, 0);(307.497, 166.507);(322.505, 87.477);(298.489, 166.50900000000001);(0.0, 0);(308.496, 63.47999999999999);(266.501, 22.483000000000004);(323.451, 132.514);(0.0, 0);(299.476, 59.491000000000014);(291.521, 66.47900000000001);(297.497, 137.447);(291.519, 160.511);(0.0, 0);(0.0, 0);(278.496, 164.487);(262.496, 101.5);(284.527, 165.51999999999998);(0.0, 0);(275.514, 69.482);(237.496, 34.50800000000001);(270.493, 138.494);(0.0, 0);(252.528, 73.493);0.92
(0.0, 0);(0.0, 0);(307.492, 166.497);(322.5, 86.51499999999999);(298.486, 166.507);(0.0, 0);(308.497, 62.51599999999999);(266.5, 22.488);(323.451, 132.513);(0.0, 0);(299.474, 59.492999999999995);(291.523, 66.47800000000001);(297.496, 137.448);(291.518, 160.51);(0.0, 0);(0.0, 0);(278.496, 163.538);(262.493, 101.49799999999999);(284.526, 165.517);(0.0, 0);(275.514, 68.519);(237.496, 34.507000000000005);(270.493, 138.495);(0.0, 0);(252.527, 73.49000000000001);0.96
(0.0, 0);(0.0, 0);(307.479, 165.518);(322.509, 87.48400000000001);(298.479, 166.498);(0.0, 0);(308.494, 62.51599999999999);(266.492, 21.50800000000001);(323.452, 132.515);(0.0, 0);(299.497, 59.518);(291.518, 66.47399999999999);(297.496, 137.448);(291.517, 160.50799999999998);(0.0, 0);(0.0, 0);(278.494, 163.536);(262.493, 101.493);(284.527, 165.513);(0.0, 0);(275.512, 68.50999999999999);(237.506, 34.5);(270.492, 138.495);(0.0, 0);(252.527, 73.48599999999999);1.0
(0.0, 0);(0.0, 0);(307.473, 166.487);(322.515, 87.50899999999999);(298.47, 166.49599999999998);(0.0, 0);(308.502, 62.51599999999999);(266.505, 22.50200000000001);(322.519, 132.525);(0.0, 0);(299.498, 59.498999999999995);(291.52, 66.471);(297.496, 137.453);(291.513, 160.51);(0.0, 0);(0.0, 0);(278.494, 164.489);(262.486, 101.506);(284.527, 165.513);(0.0, 0);(275.509, 68.506);(237.51, 34.492999999999995);(270.499, 138.499);(0.0, 0);(252.535, 73.506);1.04
(0.0, 0);(0.0, 0);(307.465, 166.487);(322.512, 87.50800000000001);(298.461, 166.495);(0.0, 0);(308.503, 63.49199999999999);(267.454, 22.50200000000001);(322.518, 132.525);(0.0, 0);(299.505, 59.512);(291.521, 66.482);(297.493, 137.451);(291.508, 160.511);(0.0, 0);(0.0, 0);(278.492, 164.486);(261.542, 101.501);(284.522, 165.512);(0.0, 0);(275.506, 68.52099999999999);(237.487, 34.489000000000004);(270.488, 138.495);(0.0, 0);(252.538, 73.507);1.08
(0.0, 0);(0.0, 0);(307.462, 166.497);(322.51, 87.49199999999999);(297.512, 166.49599999999998);(0.0, 0);(308.515, 63.486999999999995);(266.51, 22.483000000000004);(323.449, 133.486);(0.0, 0);(299.491, 59.508999999999986);(291.529, 66.47900000000001);(297.492, 137.451);(291.502, 160.50900000000001);(0.0, 0);(0.0, 0);(278.487, 164.498);(262.486, 101.511);(284.517, 165.513);(0.0, 0);(275.514, 68.51599999999999);(237.501, 34.476);(269.54, 138.494);(0.0, 0);(252.542, 73.517);1.12
(0.0, 0);(0.0, 0);(307.455, 166.49099999999999);(322.504, 86.499);(297.498, 166.49599999999998);(0.0, 0);(308.513, 63.488);(266.499, 22.489000000000004);(323.453, 132.519);(0.0, 0);(298.511, 58.548);(291.528, 66.483);(297.49, 137.449);(291.493, 160.50799999999998);(0.0, 0);(0.0, 0);(277.537, 164.498);(261.542, 101.501);(284.506, 165.515);(0.0, 0);(275.515, 68.52099999999999);(237.484, 34.49000000000001);(269.537, 138.494);(0.0, 0);(252.54, 73.52199999999999);1.16
(0.0, 0);(0.0, 0);(307.455, 166.489);(322.506, 86.50399999999999);(297.49, 166.49599999999998);(0.0, 0);(308.499, 63.488);(266.488, 21.48599999999999);(323.451, 132.516);(0.0, 0);(299.467, 59.497000000000014);(291.517, 66.482);(297.488, 137.449);(291.487, 160.507);(0.0, 0);(0.0, 0);(277.535, 164.503);(261.54, 101.49100000000001);(284.503, 165.517);(0.0, 0);(275.508, 69.489);(237.507, 34.47800000000001);(269.536, 138.494);(0.0, 0);(252.528, 73.50800000000001);1.2
(0.0, 0);(0.0, 0);(307.45, 166.485);(322.505, 86.506);(297.48, 166.498);(0.0, 0);(308.507, 63.49199999999999);(266.5, 21.49600000000001);(323.451, 132.519);(0.0, 0);(299.463, 59.494);(291.523, 66.48599999999999);(297.486, 137.451);(291.479, 160.507);(0.0, 0);(0.0, 0);(277.532, 164.497);(261.538, 101.487);(284.494, 165.517);(0.0, 0);(275.51, 69.493);(237.507, 34.485000000000014);(269.535, 138.498);(0.0, 0);(252.525, 73.493);1.24
(0.0, 0);(0.0, 0);(307.449, 166.489);(322.507, 86.505);(297.475, 166.498);(0.0, 0);(308.511, 63.49000000000001);(266.468, 20.52199999999999);(323.451, 132.511);(0.0, 0);(299.454, 59.488);(291.528, 66.487);(297.488, 137.452);(291.474, 160.50400000000002);(0.0, 0);(0.0, 0);(277.531, 164.499);(262.485, 101.50399999999999);(284.492, 165.517);(0.0, 0);(275.514, 69.49700000000001);(237.503, 34.485000000000014);(270.485, 138.501);(0.0, 0);(252.53, 73.50399999999999);1.28
(0.0, 0);(0.0, 0);(307.452, 166.49);(322.501, 86.499);(296.506, 166.501);(0.0, 0);(308.517, 63.495000000000005);(266.493, 20.489000000000004);(323.449, 132.506);(0.0, 0);(299.481, 59.50800000000001);(291.532, 66.488);(297.491, 137.449);(291.461, 160.503);(0.0, 0);(0.0, 0);(277.523, 164.499);(261.539, 100.523);(284.482, 165.518);(0.0, 0);(275.518, 69.494);(237.514, 34.47200000000001);(270.492, 138.501);(0.0, 0);(252.52, 73.46100000000001);1.32
(0.0, 0);(0.0, 0);(307.455, 166.494);(322.515, 86.50200000000001);(295.487, 165.514);(0.0, 0);(308.521, 62.51400000000001);(266.482, 20.488);(323.452, 132.504);(0.0, 0);(299.484, 59.524);(291.538, 66.476);(297.495, 137.449);(290.503, 160.478);(0.0, 0);(0.0, 0);(277.511, 164.50799999999998);(261.536, 100.511);(284.451, 165.494);(0.0, 0);(275.527, 69.48599999999999);(237.52, 34.474999999999994);(270.499, 138.497);(0.0, 0);(252.511, 72.51400000000001);1.36
(0.0, 0);(0.0, 0);(306.52, 166.514);(322.503, 85.50299999999999);(292.561, 165.49599999999998);(0.0, 0);(308.527, 62.51599999999999);(266.476, 21.498999999999995);(322.513, 132.5);(0.0, 0);(299.451, 59.50399999999999);(292.463, 66.476);(297.476, 136.515);(288.491, 160.482);(0.0, 0);(0.0, 0);(276.557, 165.483);(261.524, 100.5);(283.491, 165.482);(0.0, 0);(275.526, 68.517);(237.522, 34.486999999999995);(269.531, 138.474);(0.0, 0);(252.52, 73.46199999999999);1.4000000000000001
(0.0, 0);(0.0, 0);(306.516, 168.463);(322.5, 84.513);(291.511, 164.524);(0.0, 0);(308.511, 62.502999999999986);(266.472, 20.486999999999995);(323.461, 132.484);(0.0, 0);(298.474, 58.528999999999996);(291.532, 66.46799999999999);(297.499, 136.509);(284.492, 160.48399999999998);(0.0, 0);(0.0, 0);(0.0, 0);(261.532, 100.493);(281.474, 165.48399999999998);(0.0, 0);(275.508, 68.51599999999999);(237.497, 34.49600000000001);(270.493, 138.477);(0.0, 0);(252.498, 72.487);1.44
(0.0, 0);(0.0, 0);(304.504, 168.463);(322.517, 86.505);(290.481, 165.50900000000001);(0.0, 0);(308.504, 62.513000000000005);(266.477, 19.531000000000006);(323.46, 132.491);(0.0, 0);(298.499, 58.513000000000005);(291.525, 66.47300000000001);(297.505, 137.447);(283.49, 160.497);(0.0, 0);(0.0, 0);(0.0, 0);(261.538, 100.50299999999999);(277.539, 165.499);(0.0, 0);(275.506, 68.519);(237.513, 34.47900000000001);(270.518, 138.496);(0.0, 0);(252.493, 72.475);1.48
(0.0, 0);(0.0, 0);(303.497, 168.482);(322.517, 85.48500000000001);(286.496, 167.481);(0.0, 0);(308.498, 62.50399999999999);(266.478, 19.52799999999999);(323.462, 131.527);(0.0, 0);(297.507, 58.491000000000014);(291.523, 66.47200000000001);(297.514, 137.454);(280.484, 161.466);(0.0, 0);(0.0, 0);(0.0, 0);(262.494, 101.494);(276.523, 167.511);(0.0, 0);(275.505, 69.48500000000001);(237.515, 34.483000000000004);(271.499, 138.535);(0.0, 0);(252.506, 72.507);1.52
(0.0, 0);(0.0, 0);(302.502, 168.464);(322.505, 84.51599999999999);(284.508, 166.498);(0.0, 0);(308.504, 63.47999999999999);(266.479, 19.53);(323.465, 131.527);(0.0, 0);(297.516, 58.49199999999999);(291.525, 66.481);(298.458, 137.447);(277.489, 161.487);(0.0, 0);(0.0, 0);(0.0, 0);(262.488, 101.493);(275.542, 167.514);(0.0, 0);(275.505, 69.494);(237.518, 34.47900000000001);(271.49, 138.526);(0.0, 0);(252.505, 72.50299999999999);1.56
(0.0, 0);(0.0, 0);(301.513, 167.494);(322.509, 84.50299999999999);(283.509, 167.476);(0.0, 0);(308.499, 62.50999999999999);(266.468, 19.520999999999987);(323.468, 131.525);(0.0, 0);(298.493, 58.531000000000006);(291.521, 66.47);(297.513, 137.442);(276.483, 161.506);(0.0, 0);(0.0, 0);(0.0, 0);(261.54, 101.48599999999999);(275.501, 168.47199999999998);(0.0, 0);(275.499, 68.518);(237.512, 34.480999999999995);(270.523, 138.525);(0.0, 0);(252.51, 72.506);1.6
(0.0, 0);(0.0, 0);(300.516, 167.502);(323.442, 86.483);(283.471, 167.50400000000002);(0.0, 0);(308.487, 63.485000000000014);(266.47, 19.518);(323.461, 131.54);(0.0, 0);(299.462, 59.485000000000014);(291.514, 66.47999999999999);(297.515, 137.466);(275.545, 161.531);(0.0, 0);(0.0, 0);(0.0, 0);(262.493, 102.49799999999999);(275.454, 168.49599999999998);(0.0, 0);(275.504, 69.488);(237.495, 34.508999999999986);(271.495, 139.484);(0.0, 0);(252.528, 73.481);1.6400000000000001
(0.0, 0);(0.0, 0);(300.467, 167.50799999999998);(322.512, 85.5);(282.515, 167.514);(0.0, 0);(308.489, 63.482);(266.466, 19.510999999999996);(323.454, 132.484);(0.0, 0);(299.458, 59.49000000000001);(291.518, 66.47900000000001);(297.513, 137.476);(275.536, 161.547);(0.0, 0);(0.0, 0);(0.0, 0);(262.505, 103.482);(275.491, 168.511);(0.0, 0);(275.509, 69.489);(237.513, 34.49199999999999);(271.506, 139.506);(0.0, 0);(252.532, 73.493);1.68
(0.0, 0);(0.0, 0);(179.516, 167.478);(191.499, 99.499);(173.508, 169.461);(0.0, 0);(179.47, 71.47800000000001);(205.52, 32.504999999999995);(184.504, 136.501);(0.0, 0);(191.508, 98.477);(164.465, 67.48500000000001);(161.497, 131.492);(171.535, 162.494);(0.0, 0);(0.0, 0);(152.489, 161.515);(134.52, 83.51400000000001);(164.456, 167.495);(0.0, 0);(149.493, 65.488);(186.459, 20.498999999999995);(136.496, 129.504);(0.0, 0);(140.49, 87.506);1.72
(0.0, 0);(0.0, 0);(299.499, 167.486);(323.446, 85.49799999999999);(282.472, 168.47899999999998);(0.0, 0);(308.492, 62.491000000000014);(265.514, 19.507000000000005);(323.459, 131.54);(0.0, 0);(299.478, 59.50800000000001);(291.525, 65.52000000000001);(297.506, 137.467);(275.508, 162.469);(0.0, 0);(0.0, 0);(0.0, 0);(261.537, 101.49600000000001);(275.486, 169.45999999999998);(0.0, 0);(275.511, 68.49700000000001);(237.502, 34.5);(271.483, 139.482);(0.0, 0);(252.488, 72.48500000000001);1.76
(0.0, 0);(0.0, 0);(299.495, 167.501);(323.445, 86.50200000000001);(281.501, 168.5);(0.0, 0);(308.487, 62.504999999999995);(265.504, 19.531000000000006);(323.456, 132.499);(0.0, 0);(299.489, 59.50399999999999);(291.517, 65.52799999999999);(297.51, 137.482);(275.491, 162.487);(0.0, 0);(0.0, 0);(0.0, 0);(261.541, 101.50399999999999);(275.479, 169.471);(0.0, 0);(275.51, 68.501);(237.506, 34.49199999999999);(271.498, 139.502);(0.0, 0);(252.496, 72.50899999999999);1.8
(0.0, 0);(0.0, 0);(299.47, 167.498);(323.446, 86.5);(281.48, 168.515);(0.0, 0);(308.48, 62.504999999999995);(265.505, 19.526999999999987);(323.454, 132.494);(0.0, 0);(299.505, 59.524);(291.507, 65.52600000000001);(297.512, 137.479);(275.482, 162.507);(0.0, 0);(0.0, 0);(0.0, 0);(262.487, 101.52000000000001);(275.478, 169.475);(0.0, 0);(275.5, 68.499);(237.507, 34.494);(271.503, 139.5);(0.0, 0);(252.511, 73.465);1.84
(0.0, 0);(0.0, 0);(177.48, 163.526);(189.505, 102.487);(170.507, 170.45659999999998);(0.0, 0);(179.457, 70.483);(205.503, 32.49600000000001);(182.515, 135.503);(0.0, 0);(188.49, 90.495);(164.463, 67.48500000000001);(161.483, 131.502);(164.49, 163.50900000000001);(0.0, 0);(0.0, 0);(148.507, 162.54000000000002);(138.492, 85.499);(156.55, 169.50799999999998);(0.0, 0);(149.509, 65.513);(185.479, 22.488);(137.505, 130.457);(0.0, 0);(167.502, 89.537);1.8800000000000001
(0.0, 0);(0.0, 0);(299.45, 167.47199999999998);(322.516, 86.49000000000001);(280.51, 169.445);(0.0, 0);(308.484, 63.480999999999995);(265.511, 19.514999999999986);(323.458, 131.538);(0.0, 0);(299.517, 59.485000000000014);(291.516, 66.47200000000001);(298.461, 137.479);(275.469, 162.518);(0.0, 0);(0.0, 0);(0.0, 0);(262.508, 103.50399999999999);(275.472, 169.471);(0.0, 0);(275.507, 68.518);(237.498, 34.510999999999996);(271.505, 139.502);(0.0, 0);(253.487, 74.494);1.92
(0.0, 0);(0.0, 0);(298.514, 167.49099999999999);(322.512, 86.50399999999999);(280.49, 169.451);(0.0, 0);(307.533, 63.48599999999999);(265.516, 19.508999999999986);(323.455, 132.485);(0.0, 0);(299.529, 59.489000000000004);(291.497, 66.469);(298.458, 137.479);(275.457, 162.512);(0.0, 0);(0.0, 0);(0.0, 0);(262.505, 103.483);(275.452, 169.45600000000002);(0.0, 0);(275.495, 68.51400000000001);(237.493, 34.52000000000001);(271.511, 139.498);(0.0, 0);(252.555, 74.48599999999999);1.96
(0.0, 0);(0.0, 0);(298.513, 167.482);(322.514, 86.512);(279.517, 169.454);(0.0, 0);(307.527, 63.48599999999999);(266.473, 19.504999999999995);(323.451, 132.487);(0.0, 0);(299.522, 58.548);(291.493, 66.469);(297.514, 137.48);(275.446, 162.52100000000002);(0.0, 0);(0.0, 0);(0.0, 0);(262.508, 103.48500000000001);(274.514, 169.451);(0.0, 0);(275.49, 68.513);(237.491, 34.525000000000006);(271.514, 139.498);(0.0, 0);(252.555, 74.487);2.0
