LAnkle;LBigToe;LEar;LElbow;LEye;LHeel;LHip;LKnee;LShoulder;LSmallToe;LWrist;MidHip;Neck;Nose;RAnkle;RBigToe;REar;RElbow;REye;RHeel;RHip;RKnee;RShoulder;RSmallToe;RWrist;time
(0.0, 0);(0.0, 0);(178.473, 161.482);(187.505, 90.495);(172.517, 161.531);(0.0, 0);(179.462, 68.51499999999999);(206.496, 32.482);(184.483, 134.49);(0.0, 0);(196.482, 106.493);(164.458, 66.51400000000001);(162.459, 130.541);(169.493, 154.55599999999998);(0.0, 0);(0.0, 0);(151.491, 161.488);(135.487, 81.50999999999999);(163.465, 161.51600000000002);(0.0, 0);(149.488, 65.47399999999999);(183.515, 20.512);(137.516, 129.517);(0.0, 0);(148.519, 94.49100000000001);0.0
(0.0, 0);(0.0, 0);(308.489, 167.494);(322.516, 86.495);(301.491, 169.525);(0.0, 0);(308.506, 62.489000000000004);(266.48, 19.533999999999992);(322.477, 133.507);(0.0, 0);(299.479, 59.513000000000005);(291.513, 65.52799999999999);(295.513, 137.456);(297.516, 162.51999999999998);(0.0, 0);(0.0, 0);(282.466, 165.49099999999999);(260.541, 99.50299999999999);(291.444, 169.497);(0.0, 0);(275.482, 68.50399999999999);(237.524, 34.46700000000001);(269.486, 138.494);(0.0, 0);(252.503, 73.457);0.04
(0.0, 0);(0.0, 0);(308.485, 165.515);(322.491, 85.51400000000001);(300.539, 169.497);(0.0, 0);(308.506, 62.48599999999999);(266.472, 19.516999999999996);(322.494, 133.514);(0.0, 0);(298.481, 58.548);(291.509, 65.523);(296.483, 137.455);(295.511, 162.482);(0.0, 0);(0.0, 0);(281.489, 164.50900000000001);(260.547, 100.487);(289.516, 169.46800000000002);(0.0, 0);(275.472, 68.50200000000001);(237.533, 34.485000000000014);(269.491, 138.495);(0.0, 0);(252.511, 73.49600000000001);0.08
(0.0, 0);(0.0, 0);(308.468, 167.48000000000002);(322.501, 85.50200000000001);(300.491, 169.486);(0.0, 0);(308.512, 62.49600000000001);(266.478, 19.52000000000001);(322.509, 133.504);(0.0, 0);(298.509, 59.48599999999999);(291.518, 66.47);(296.502, 137.456);(294.494, 162.453);(0.0, 0);(0.0, 0);(280.5, 163.53);(261.481, 99.52799999999999);(288.499, 168.505);(0.0, 0);(275.486, 69.489);(238.493, 34.474999999999994);(269.497, 138.503);(0.0, 0);(252.501, 73.483);0.12
(0.0, 0);(0.0, 0);(307.54, 167.5);(322.503, 86.482);(299.538, 169.45);(0.0, 0);(308.504, 62.501000000000005);(266.491, 19.522999999999996);(322.51, 132.525);(0.0, 0);(299.49, 60.48599999999999);(291.515, 66.47399999999999);(296.496, 137.449);(292.556, 161.506);(0.0, 0);(0.0, 0);(280.491, 163.541);(261.495, 100.51599999999999);(286.521, 168.466);(0.0, 0);(275.493, 69.493);(238.498, 34.464);(269.493, 138.501);(0.0, 0);(252.511, 73.51499999999999);0.16
(0.0, 0);(0.0, 0);(307.529, 167.493);(322.517, 87.50399999999999);(299.512, 169.44799999999998);(0.0, 0);(308.492, 62.51599999999999);(266.492, 19.519000000000005);(322.509, 133.491);(0.0, 0);(299.51, 60.494);(291.509, 66.47800000000001);(296.515, 137.45);(292.533, 161.51600000000002);(0.0, 0);(0.0, 0);(279.514, 163.493);(261.533, 101.494);(286.491, 168.465);(0.0, 0);(275.497, 69.493);(238.492, 34.46100000000001);(269.517, 138.502);(0.0, 0);(252.507, 73.505);0.2
(0.0, 0);(0.0, 0);(307.541, 168.466);(322.519, 88.46799999999999);(299.489, 168.50900000000001);(0.0, 0);(308.471, 62.513000000000005);(266.488, 19.519000000000005);(322.515, 133.486);(0.0, 0);(299.529, 60.504999999999995);(291.496, 66.47800000000001);(297.478, 137.454);(292.499, 161.485);(0.0, 0);(0.0, 0);(280.481, 163.518);(261.537, 101.50200000000001);(285.512, 167.499);(0.0, 0);(275.497, 69.49700000000001);(238.505, 33.50800000000001);(269.531, 138.512);(0.0, 0);(252.523, 73.52000000000001);0.24
(0.0, 0);(0.0, 0);(307.523, 167.50900000000001);(323.456, 88.47);(299.468, 168.49599999999998);(0.0, 0);(308.486, 63.482);(266.471, 19.514999999999986);(323.45, 132.523);(0.0, 0);(299.53, 60.504999999999995);(291.504, 66.47999999999999);(297.484, 137.452);(292.47, 161.476);(0.0, 0);(0.0, 0);(279.493, 163.535);(261.538, 101.49799999999999);(285.482, 167.499);(0.0, 0);(275.5, 69.49700000000001);(238.514, 33.456999999999994);(269.526, 138.51);(0.0, 0);(252.533, 73.51599999999999);0.28
(0.0, 0);(0.0, 0);(307.523, 168.462);(323.446, 87.483);(299.459, 168.47);(0.0, 0);(308.495, 63.49000000000001);(266.491, 20.492999999999995);(323.451, 132.514);(0.0, 0);(299.539, 61.48400000000001);(291.517, 66.49000000000001);(297.487, 137.453);(292.458, 161.45600000000002);(0.0, 0);(0.0, 0);(279.494, 164.503);(261.54, 101.49100000000001);(284.554, 167.483);(0.0, 0);(275.51, 69.512);(238.51, 33.48400000000001);(269.526, 138.515);(0.0, 0);(252.529, 73.5);0.32
(0.0, 0);(0.0, 0);(307.511, 168.464);(323.442, 86.507);(298.519, 167.499);(0.0, 0);(308.488, 63.489000000000004);(266.482, 19.53200000000001);(322.516, 132.514);(0.0, 0);(299.483, 59.52799999999999);(291.51, 66.49000000000001);(297.486, 137.453);(291.542, 161.446);(0.0, 0);(0.0, 0);(278.526, 164.488);(262.5, 102.49700000000001);(284.539, 166.49599999999998);(0.0, 0);(275.506, 69.505);(238.502, 33.52799999999999);(269.535, 138.514);(0.0, 0);(252.547, 73.52199999999999);0.36
