LAnkle;LBigToe;LEar;LElbow;LEye;LHeel;LHip;LKnee;LShoulder;LSmallToe;LWrist;MidHip;Neck;Nose;RAnkle;RBigToe;REar;RElbow;REye;RHeel;RHip;RKnee;RShoulder;RSmallToe;RWrist;time
(0.0, 0);(0.0, 0);(0.0, 0);(317.513, 93.51499999999999);(311.487, 170.5168);(0.0, 0);(308.5, 64.48599999999999);(265.502, 22.50399999999999);(317.518, 137.47);(0.0, 0);(300.475, 58.506);(292.475, 66.493);(292.493, 137.479);(309.503, 164.515);(0.0, 0);(0.0, 0);(284.537, 168.495);(251.491, 103.5);(301.532, 170.501);(0.0, 0);(276.498, 68.511);(240.483, 34.47800000000001);(267.468, 137.529);(0.0, 0);(243.442, 71.499);19.2
(0.0, 0);(0.0, 0);(0.0, 0);(317.499, 93.50200000000001);(311.505, 170.5165);(0.0, 0);(308.505, 64.5);(265.49, 22.489000000000004);(317.525, 137.469);(0.0, 0);(300.46, 58.471000000000004);(292.471, 66.50200000000001);(292.493, 137.479);(309.515, 164.514);(0.0, 0);(0.0, 0);(284.54, 168.49);(251.491, 103.5);(301.542, 170.501);(0.0, 0);(276.494, 68.519);(240.485, 34.489000000000004);(267.465, 137.531);(0.0, 0);(242.519, 71.513);19.240000000000002
(0.0, 0);(0.0, 0);(0.0, 0);(317.493, 93.49100000000001);(311.496, 170.5156);(0.0, 0);(308.509, 64.476);(265.514, 22.486999999999995);(317.536, 137.484);(0.0, 0);(299.522, 57.52199999999999);(292.472, 66.48400000000001);(292.5, 137.491);(309.511, 164.512);(0.0, 0);(0.0, 0);(284.541, 168.493);(251.499, 103.506);(301.541, 170.499);(0.0, 0);(276.492, 68.50200000000001);(240.482, 34.48599999999999);(267.469, 137.535);(0.0, 0);(243.446, 71.49700000000001);19.28
(0.0, 0);(0.0, 0);(0.0, 0);(189.489, 98.524);(176.513, 169.51600000000002);(0.0, 0);(180.505, 67.52099999999999);(202.503, 30.486999999999995);(185.476, 135.496);(0.0, 0);(194.509, 66.505);(165.512, 66.469);(162.498, 130.545);(178.498, 163.534);(0.0, 0);(0.0, 0);(156.498, 161.537);(138.517, 82.49600000000001);(171.486, 168.519);(0.0, 0);(152.483, 64.481);(164.52, 17.47999999999999);(138.518, 129.495);(0.0, 0);(158.491, 58.52000000000001);19.32
(0.0, 0);(0.0, 0);(0.0, 0);(189.502, 98.506);(177.477, 169.51999999999998);(0.0, 0);(180.508, 67.511);(203.498, 30.5);(185.479, 135.509);(0.0, 0);(195.455, 65.52600000000001);(165.516, 65.525);(162.505, 131.48);(178.508, 163.541);(0.0, 0);(0.0, 0);(156.484, 161.541);(138.52, 82.499);(171.487, 169.447);(0.0, 0);(152.481, 64.47200000000001);(164.53, 16.504999999999995);(139.459, 129.515);(0.0, 0);(158.506, 58.510999999999996);19.36
(0.0, 0);(0.0, 0);(0.0, 0);(189.501, 98.53399999999999);(177.487, 169.515);(0.0, 0);(180.515, 67.517);(202.489, 29.498999999999995);(185.477, 136.471);(0.0, 0);(195.445, 66.512);(165.523, 65.525);(162.505, 131.482);(178.513, 163.535);(0.0, 0);(0.0, 0);(156.48, 161.542);(138.518, 82.507);(171.491, 169.44400000000002);(0.0, 0);(152.488, 64.46799999999999);(164.522, 17.482);(139.465, 129.508);(0.0, 0);(157.536, 58.53299999999999);19.400000000000002
(0.0, 0);(0.0, 0);(0.0, 0);(189.498, 98.50399999999999);(177.498, 169.525);(0.0, 0);(180.5, 67.52199999999999);(203.486, 31.504999999999995);(185.479, 136.463);(0.0, 0);(195.462, 65.506);(165.51, 65.52600000000001);(162.506, 130.551);(178.519, 164.49099999999999);(0.0, 0);(0.0, 0);(156.488, 162.45600000000002);(139.443, 82.481);(171.496, 169.452);(0.0, 0);(151.516, 63.507000000000005);(169.498, 20.49600000000001);(139.472, 129.498);(0.0, 0);(159.505, 58.47900000000001);19.44
(0.0, 0);(0.0, 0);(0.0, 0);(189.497, 98.488);(177.484, 169.53);(0.0, 0);(180.492, 67.525);(202.51, 31.49799999999999);(185.488, 135.492);(0.0, 0);(195.474, 65.475);(165.498, 65.53200000000001);(162.512, 130.534);(178.52, 164.501);(0.0, 0);(0.0, 0);(156.496, 161.54500000000002);(138.519, 82.494);(171.498, 169.45600000000002);(0.0, 0);(151.506, 64.47200000000001);(167.513, 19.50999999999999);(139.476, 129.487);(0.0, 0);(158.523, 58.491000000000014);19.48
(0.0, 0);(0.0, 0);(0.0, 0);(317.509, 92.51499999999999);(311.502, 170.5143);(0.0, 0);(308.507, 63.508999999999986);(265.5, 23.477000000000004);(318.497, 137.475);(0.0, 0);(299.522, 57.52699999999999);(292.468, 66.47900000000001);(292.507, 137.486);(309.511, 164.513);(0.0, 0);(0.0, 0);(284.55, 168.488);(251.5, 103.5);(301.54, 170.4961);(0.0, 0);(276.489, 68.499);(239.52, 34.46199999999999);(267.472, 137.539);(0.0, 0);(243.453, 72.49700000000001);19.52
(0.0, 0);(0.0, 0);(0.0, 0);(317.513, 92.517);(311.501, 170.5128);(0.0, 0);(308.508, 63.492999999999995);(265.479, 22.510999999999996);(318.5, 137.482);(0.0, 0);(299.52, 57.522999999999996);(292.468, 66.469);(292.508, 137.488);(309.51, 164.51);(0.0, 0);(0.0, 0);(284.543, 168.489);(251.498, 103.50200000000001);(301.54, 170.49349999999998);(0.0, 0);(276.488, 68.49000000000001);(239.512, 33.542);(267.472, 137.537);(0.0, 0);(243.454, 72.50800000000001);19.56
