Nose_x,Neck_x,RShoulder_x,RElbow_x,RWrist_x,LShoulder_x,LElbow_x,LWrist_x,MidHip_x,RHip_x,RKnee_x,RAnkle_x,LHip_x,LKnee_x,LAnkle_x,REye_x,LEye_x,REar_x,LEar_x,LBigToe_x,LSmallToe_x,LHeel_x,RBigToe_x,RSmallToe_x,RHeel_x,Nose_y,Neck_y,RShoulder_y,RElbow_y,RWrist_y,LShoulder_y,LElbow_y,LWrist_y,MidHip_y,RHip_y,RKnee_y,RAnkle_y,LHip_y,LKnee_y,LAnkle_y,REye_y,LEye_y,REar_y,LEar_y,LBigToe_y,LSmallToe_y,LHeel_y,RBigToe_y,RSmallToe_y,RHeel_y,time
298.509,295.518,268.552,260.538,252.494,322.49,323.456,299.471,291.512,275.485,237.519,0.0,308.504,266.492,0.0,291.484,301.538,282.482,308.517,0.0,0.0,0.0,0.0,0.0,0.0,162.54500000000002,137.466,138.501,99.517,73.453,133.51,85.501,59.516999999999996,65.53200000000001,68.50399999999999,34.471000000000004,270.0,62.494,19.518,270.0,169.517,170.4562,166.50799999999998,168.47899999999998,270.0,270.0,270.0,270.0,270.0,270.0,0.0
168.496,162.474,138.481,136.499,149.536,184.494,188.515,196.472,164.472,149.506,184.492,0.0,179.481,206.491,0.0,163.447,172.507,151.489,178.472,0.0,0.0,0.0,0.0,0.0,0.0,154.548,130.548,129.513,81.495,98.5,134.512,90.489,106.511,66.51400000000001,65.46600000000001,20.495000000000005,270.0,68.51400000000001,32.504999999999995,270.0,161.513,161.522,161.495,161.463,270.0,270.0,270.0,270.0,270.0,270.0,0.04
167.505,162.462,137.496,136.507,148.53,184.514,188.478,196.489,164.465,149.492,184.5,0.0,179.479,206.497,0.0,162.503,172.501,150.503,178.483,0.0,0.0,0.0,0.0,0.0,0.0,154.555,130.547,129.503,81.488,97.505,134.515,90.495,107.50999999999999,66.50200000000001,65.45400000000001,20.501000000000005,270.0,68.50299999999999,32.50200000000001,270.0,161.536,161.522,161.503,160.514,270.0,270.0,270.0,270.0,270.0,270.0,0.08
167.486,161.495,136.507,135.505,147.543,184.495,187.503,196.469,164.463,149.484,184.501,0.0,179.484,206.503,0.0,162.493,172.491,150.503,178.49,0.0,0.0,0.0,0.0,0.0,0.0,154.553,130.545,129.502,81.47800000000001,96.512,135.477,90.52699999999999,103.5,66.50800000000001,65.45500000000001,20.495000000000005,270.0,68.512,32.494,270.0,161.534,161.519,161.50900000000001,160.51600000000002,270.0,270.0,270.0,270.0,270.0,270.0,0.12
166.516,161.518,137.481,134.495,147.496,184.505,187.53,193.507,164.462,149.484,184.488,0.0,179.477,206.5,0.0,162.479,172.477,150.497,178.484,0.0,0.0,0.0,0.0,0.0,0.0,154.56,130.547,129.509,81.517,96.47300000000001,135.478,94.488,99.488,66.50999999999999,65.459,20.506,270.0,68.51499999999999,32.49000000000001,270.0,161.542,161.531,161.511,161.46699999999998,270.0,270.0,270.0,270.0,270.0,270.0,0.16
166.491,161.513,137.497,136.503,147.524,183.515,188.49,188.537,164.467,149.499,184.488,0.0,179.48,206.493,0.0,162.47,172.459,150.485,178.466,0.0,0.0,0.0,0.0,0.0,0.0,155.48000000000002,130.534,129.489,80.517,95.495,135.475,97.487,96.501,66.49199999999999,64.51599999999999,20.49000000000001,270.0,67.53299999999999,32.504999999999995,270.0,161.529,161.526,161.50400000000002,161.465,270.0,270.0,270.0,270.0,270.0,270.0,0.2
165.54,161.5,137.49,136.499,149.532,183.5,188.535,187.521,164.481,149.515,185.475,0.0,179.485,206.506,0.0,161.517,171.542,149.519,177.513,0.0,0.0,0.0,0.0,0.0,0.0,155.49599999999998,130.533,129.484,81.44900000000001,97.47399999999999,134.516,89.50299999999999,98.54599999999999,66.501,65.45500000000001,19.531000000000006,270.0,68.5,32.47999999999999,270.0,161.543,161.538,161.49200000000002,161.46800000000002,270.0,270.0,270.0,270.0,270.0,270.0,0.24
165.536,160.491,136.513,136.506,156.475,181.536,188.536,189.503,164.494,149.528,184.505,0.0,179.498,206.497,0.0,161.514,171.541,149.513,177.511,0.0,0.0,0.0,0.0,0.0,0.0,155.49599999999998,130.545,129.493,80.505,99.49700000000001,135.489,90.47300000000001,104.488,66.52000000000001,65.482,20.50800000000001,270.0,68.519,32.50399999999999,270.0,161.542,161.537,161.499,161.469,270.0,270.0,270.0,270.0,270.0,270.0,0.28
165.538,161.484,136.513,136.49,159.509,183.499,187.536,192.513,164.48,149.516,183.519,0.0,179.481,206.493,0.0,161.514,171.542,149.513,177.514,0.0,0.0,0.0,0.0,0.0,0.0,155.493,130.545,129.499,80.506,98.512,134.507,90.52099999999999,103.49100000000001,66.49700000000001,64.511,20.524,270.0,68.49799999999999,32.50800000000001,270.0,161.54000000000002,161.536,161.49599999999998,161.47,270.0,270.0,270.0,270.0,270.0,270.0,0.32
165.536,160.518,136.517,136.487,154.484,182.51,188.528,195.462,164.484,149.523,184.489,0.0,179.484,206.485,0.0,161.516,171.543,149.52,177.516,0.0,0.0,0.0,0.0,0.0,0.0,155.498,131.485,129.51,80.499,93.50800000000001,135.508,90.535,109.507,66.50200000000001,64.506,20.52199999999999,270.0,68.523,32.50200000000001,270.0,161.546,161.538,161.503,161.474,270.0,270.0,270.0,270.0,270.0,270.0,0.36
